"x","y"
1,97.9981992270027
2,69.2951912174839
3,56.5792867038086
4,48.9990996135013
5,43.8261270288291
6,40.0075973029609
7,37.0398377266873
8,34.6475956087419
9,32.6660664090009
10,30.9897516152281
11,29.5475688151331
12,28.2896433519043
13,27.1798101704687
14,26.1911204305899
15,25.3030262376332
16,24.4995498067507
17,23.7680545019562
18,23.0983970724946
19,22.4823287936563
20,21.9130635144145
21,21.384960282243
22,20.8932862767568
23,20.4340370904669
24,20.0037986514805
25,19.5996398454005
26,19.2190280829015
27,18.8597622346029
28,18.5199188633437
29,18.1978087462004
30,17.8919414371716
31,17.6009961702459
32,17.323797804371
33,17.0592968093161
34,16.8065525139447
35,16.5647190064868
36,16.3330332045004
37,16.1108047106679
38,15.89740714686
39,15.6922707184431
40,15.494875807614
41,15.3047474315901
42,15.121450430979
43,14.9445852772877
44,14.7737844075666
45,14.6087090096097
46,14.4490461936866
47,14.2945064970557
48,14.1448216759521
49,13.9997427467147
50,13.8590382434968
51,13.7224926648181
52,13.5899050852344
53,13.4610879117771
54,13.3358657676536
55,13.2140744880981
56,13.095560215295
57,12.9801785810272
58,12.8677939671741
59,12.7582788354453
60,12.6515131188166
61,12.5473836680678
62,12.4457837476193
63,12.3466125755624
64,12.2497749033753
65,12.1551806313417
66,12.0627444561415
67,11.9723855474814
68,11.8840272509781
69,11.7975968148119
70,11.7130251379365
71,11.6302465378634
72,11.5491985362473
73,11.4698216606833
74,11.3920592612854
75,11.3158573407617
76,11.2411643968282
77,11.1679312759157
78,11.0961110372262
79,11.0256588262839
80,10.9565317572073
81,10.8886888030003
82,10.8220906932248
83,10.7566998184742
84,10.6924801411215
85,10.6293971118588
86,10.5674175915908
87,10.5065097782801
88,10.4466431383784
89,10.3877883425064
90,10.329917205076
91,10.2730026275721
92,10.2170185452335
93,10.161939876897
94,10.1077424777833
95,10.0544030950233
96,10.0018993257402
97,9.95020957751376
98,9.89931303106913
99,9.84918960504438
100,9.79981992270027
101,9.75118528044755
102,9.70326761807553
103,9.65604949057431
104,9.60951404145077
105,9.56364497744568
106,9.51842654456583
107,9.473843505351
108,9.42988111730143
109,9.38652511239623
110,9.34376167763834
111,9.3015774365656
112,9.25995943167183
113,9.21889510768547
114,9.17837229565668
115,9.13837919780722
116,9.09890437310018
117,9.05993672348958
118,9.02146548081218
119,8.98348019428646
120,8.94597071858578
121,8.90892720245479
122,8.87234007784005
123,8.83620004950778
124,8.80049808512294
125,8.76522540576581
126,8.73037347686331
127,8.6959339995138
128,8.66189890218548
129,8.62826033276936
130,8.59501065096906
131,8.56214242101088
132,8.52964840465805
133,8.49752155451449
134,8.46575500760393
135,8.43434207921107
136,8.40327625697233
137,8.37255119520425
138,8.3421607094583
139,8.31209877129159
140,8.28235950324341
141,8.25293717400798
142,8.22382619379457
143,8.19502110986641
144,8.16651660225022
145,8.13830747960885
146,8.11038867526954
147,8.08275524340122
148,8.05540235533394
149,8.0283252960145
150,8.00151946059218
151,7.97498035112915
152,7.94870357342999
153,7.92268483398539
154,7.8969199370253
155,7.87140478167665
156,7.84613535922153
157,7.82110775045159
158,7.79631812311464
159,7.77176272944971
